epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,14685.6,0.59623,0.50216,1.08143,0.94197,0.86738,0.93168,0.74016,0.74622,0.58206,1.15296,0.0006338,0.0006338,0.0006338
71,14908.9,0.5985,0.5018,1.0779,0.93523,0.88889,0.93622,0.76657,0.69904,0.55987,1.10517,0.000614,0.000614,0.000614
72,15135.8,0.57079,0.47161,1.06974,0.91054,0.88889,0.93365,0.75262,0.70461,0.59451,1.10452,0.0005942,0.0005942,0.0005942
73,15375.5,0.57526,0.49065,1.07364,0.90018,0.90507,0.91713,0.7374,0.74647,0.60664,1.15155,0.0005744,0.0005744,0.0005744
74,15605,0.55811,0.46217,1.06027,0.89868,0.91039,0.93751,0.7591,0.70867,0.58715,1.09875,0.0005546,0.0005546,0.0005546
75,15833.1,0.59641,0.48773,1.08276,0.93276,0.89502,0.93224,0.75059,0.70664,0.5741,1.11005,0.0005348,0.0005348,0.0005348
76,16046.8,0.58572,0.47731,1.0732,0.9346,0.87077,0.93115,0.75704,0.70356,0.58093,1.08464,0.000515,0.000515,0.000515
77,16260.8,0.57307,0.48539,1.07156,0.94168,0.86813,0.93098,0.75718,0.6855,0.57653,1.0898,0.0004952,0.0004952,0.0004952
78,16472.3,0.57093,0.46947,1.08029,0.95153,0.8853,0.93457,0.7609,0.7047,0.56801,1.09759,0.0004754,0.0004754,0.0004754
79,16680,0.54937,0.46893,1.05669,0.93588,0.8894,0.93589,0.75192,0.70058,0.57359,1.0966,0.0004556,0.0004556,0.0004556
80,16890.4,0.55119,0.45731,1.0608,0.94711,0.89856,0.9291,0.74937,0.71539,0.58697,1.09577,0.0004358,0.0004358,0.0004358
81,17099.9,0.57231,0.46941,1.0702,0.95446,0.90138,0.93583,0.74719,0.7371,0.58353,1.12024,0.000416,0.000416,0.000416
82,17316.5,0.55511,0.45247,1.05253,0.96306,0.88889,0.92758,0.7461,0.71305,0.56007,1.116,0.0003962,0.0003962,0.0003962
